stockid,MSYbest
SOLMEDGSA17,
SOUTHHAKECH,
SOUTHHAKECR,4144
SOUTHHAKESA,4341
SOUTHHAKEWCSI,8077
SPANMACKGM,
SPANMACKSATLC,2750
SPANMACKSETO,6926.257021
SPHAKECH,
SPRAT22-32,
SPRATNS,
SPRBLKGSA29,
SPSDOGPCOAST,848
SPURDNEATL,
SRAKEROCKBSAI,
SSANDNSJ,
SSANDWSJ,6694.38
SSARDCH,
SSLOBSTERSASC,
SSTHORNHPCOAST,2034
STFLOUNNPCOAST,818
STFLOUNSPCOAST,396
STMARLINIO,4218
STMARLINNEPAC,2596
STMARLINSWPO,2081
STMARLINWCNPAC,5657
STRIPEDBASSGOMCHATT,
SURFMATLC,98000
SWHITSE,2070.344826
SWORDEPAC,54900
SWORDIO,27100
SWORDMED,14600
SWORDNATL,13700
SWORDNPAC,14920
SWORDSATL,14210
TANNERCRABBSAI,
TARAKNZ,682
TBSKAMEDGSA29,
TIGERFLATSE,2854.058088
TILEGM,
TILEMATLC,1029
TILESATLC,253.9886108
TREVALLYTRE7,1818
TSKA3LNOPs,6653
TURBLKGSA29,
TURIV,
VSNAPGM,1528.606388
VSNAPSATLC,696.7187
WANGLVIIIc-IXa,
WANGLVII-VIIIabd,
WAREHOUESE,966.66474
WAREHOUWSE,866.7822979
WEAKFISHATLC,
WHAKE3NOPs,3500
WHAKE4RS,9016
WHAKE4T,
WHAKEGBGOM,5422
WHITMEDGSA29,
WHITNS-VIId,
WHITVIa,
WHITVIIa,
WHITVIIek,21000
WINDOWGOMGB,700
WINDOWSNEMATL,500
WINFLOUN4T,
WINFLOUN5Z,2840
WINFLOUND5Y,
WINFLOUNSNEMATL,11728
WITFLOUN4RST,1990
WITFLOUN5Y,1957
WLFLOUNNPAC,144.6048296
WMARLINATL,1239
WPOLLAI,
WPOLLEBS,
WPOLLGA,
WPOLLNAVAR,
WPOLLNSO,966700
WPOLLWBS,
WROCKPCOAST,7776
WSHRIMPGM,
WVSCALLALASKA,582.412128
YEGROUPGM,375
YELL3LNO,18730
YELLCCODGOM,1285
YELLGB,9400
YELLSNEMATL,541
YEYEROCKPCOAST,63
YFINATL,144600
YFINCWPAC,586400
YFINEIO,422000
YFINEPAC,274960
YNOSESKACSCH,
YNOSESKASCH,
YSOLEBSAI,
YTROCKNPCOAST,4805
YTSNAPSATLCGM,1700
