stockid,areaid,stocklong,region
CSALMSSOUNDWR,USA-WASTATE-SSOUNDWR,Chum Salmon South Sound Winter Run,US West Coast (Pacific Salmon)
CSALMSSR,USA-WASTATE-SSR,Chum Salmon Stillaguamish and Snohomish Rivers,US West Coast (Pacific Salmon)
CSALMTHREEH,USA-AKSTATE-THREEH,Chum Salmon ThreeHills,US Alaska (Pacific Salmon)
CSALMTOGD,USA-AKSTATE-TOGD,Chum Salmon Togiak District,US Alaska (Pacific Salmon)
CSALMUCOOKI,USA-AKSTATE-UCOOKI,Chum Salmon Upper Cook Inlet,US Alaska (Pacific Salmon)
CSALMUNALAKLEET,USA-AKSTATE-UNALAKLEET,Chum Salmon Unalakleet,US Alaska (Pacific Salmon)
CSALMURSUSCL,USA-AKSTATE-URSUSCL,Chum Salmon Ursus Cove and Lagoon,US Alaska (Pacific Salmon)
CSALMWILLB,USA-WASTATE-WILLB,Chum Salmon Willapa Bay,US West Coast (Pacific Salmon)
CSALMWKAMCH,Russia-TINRO-WKAMCH,Chum Salmon West Kamchatka chum hatchery,Russia Japan (Pacific Salmon)
CSALMWKAMCW,Russia-TINRO-WKAMCW,Chum Salmon West Kamchatka chum wild,Russia Japan (Pacific Salmon)
CSALMYUKONRFR,USA-AKSTATE-YUKONRFR,Chum Salmon Yukon River Fall Run,US Alaska (Pacific Salmon)
CSALMYUKONRSR,USA-AKSTATE-YUKONRSR,Chum Salmon Yukon River Summer Run,US Alaska (Pacific Salmon)
CSARDCSCH,Chile-SUBPESCA-CH-CS,Chilean sardine Central-Southern Chile,South America
CSHRIMPWA,multinational-FAO-WA,Coastal Shrimp West Africa,West Africa
CSKATMATLC,USA-NMFS-MATLC,Clearnose skate Mid-Atlantic Coast,US East Coast
CTRACSA,South Africa-DETMCM-SASC,Cape horse mackerel South Africa South coast,South Africa
CUSK4X,Canada-DFO-4X,Cusk NAFO 4X,Canada East Coast
CUSKI-II,multinational-ICES-I-II,Tusk North-East Arctic,Europe non EU
CUSKNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Tusk Northeast Atlantic,European Union
CUSKVa-XIV,multinational-ICES-Va-XIV,Tusk Va and XIV,European Union
CUSKVIb,multinational-ICES-VIb,Tusk Rockall Bank,European Union
CUSKXII,multinational-ICES-XII,Tusk North of Azores,European Union
CUTTLEWA,multinational-FAO-WA,Cuttlefish West Africa,West Africa
DAB2232,multinational-ICES-22-32,Dab Baltic Areas 22-32,European Union
DABIIIa-IV,multinational-ICES-IIIa-IV,Dab IIIa and North Sea,European Union
DEEPCHAKESA,South Africa-DETMCM-SA,Deep-water cape hake South Africa,South Africa
DEEPFLATHEADSE,Australia-AFMA-SE,Deepwater flathead Southeast Australia,Australia
DKROCKPCOAST,USA-NMFS-PCOAST,Darkblotched rockfish Pacific Coast,US West Coast
DOYSFS,New Zealand-MFish-FS,Dredge oyster Foveax Strait,New Zealand
DRSHRIMPWA,multinational-FAO-WA,Deepwater Rose Shrimp West Africa,West Africa
DSKSHARGMATL,USA-NMFS-GMATL,Dusky shark Gulf of Mexico and Atlantic,US Southeast and Gulf
DSOLEGA,USA-NMFS-GA,Dover sole Gulf of Alaska,US Alaska
DSOLEPCOAST,USA-NMFS-PCOAST,Dover sole Pacific Coast,US West Coast
DSSMELTPAC,Japan-FAJ-PAC,Deep-sea smelt Pacific Ocean,Russia Japan
DSSMELTSOJ,Japan-FAJ-SOJ,Deep-sea smelt Sea of Japan,Russia Japan
DUSROCKGA,USA-NMFS-GA,Dusky rockfish Gulf of Alaska,US Alaska
EBASSGSA7,multinational-GFCM-GSA7,European seabass Gulf of Lions,Mediterranean-Black Sea
EBASSIVbc-VII,multinational-ICES-IVbc-VII,European seabass IVbc and VII,European Union
EBASSVIa-VIIb-j,multinational-ICES-VIa-VIIb-j,European seabass VIa and VIIb-j,European Union
EBASSVIIIab,multinational-ICES-VIIIab,European seabass VIIIab,European Union
EBASSVIIIc-IXa,multinational-ICES-VIIIc-IXa,European seabass VIIIc and IXa,European Union
EFLOUN2223,multinational-ICES-2223,European flounder Subdivisions 22-23,European Union
EFLOUN2425,multinational-ICES-2425,European flounder Subdivisions 24-25,European Union
EFLOUN26-28,multinational-ICES-2628,European flounder Subdivisions 26-28,European Union
EFLOUN27-2932,multinational-ICES-27-2932,European flounder Subdivisions 27 and 29-32,European Union
EFLOUNIIIa-IV,multinational-ICES-IIIa-IV,European flounder IIIa and North Sea,European Union
EPOLLIV-IIIa,multinational-ICES-IIIa-IV,European pollack IIIa and North Sea,European Union
EPOLLVIII-IXa,multinational-ICES-VIII-IXa,European pollack VIII and IXa,European Union
ESOLEHS,Canada-DFO-HS,English sole Hecate Strait,Canada West Coast
ESOLEPCOAST,USA-NMFS-PCOAST,English sole Pacific Coast,US West Coast
EULAPCOASTCCDU,Canada-DFO-PCOASTCCDU,Eulachon Pacific Coast of Canada Central Coast DU,Canada West Coast
EULAPCOASTFRDU,Canada-DFO-PCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada West Coast
EULAPCOASTNSDU,Canada-DFO-PCOASTNSDU,Eulachon Pacific Coast of Canada Nass / Skeena DU,Canada West Coast
FHFLOUNSOJ,Japan-FAJ-SOJ,Flathead flounder Sea of Japan,Russia Japan
FLSOLEBSAI,USA-NMFS-BSAI,Flathead sole Bering Sea and Aleutian Islands,US Alaska
FLSOLEGA,USA-NMFS-GA,Flathead sole Gulf of Alaska,US Alaska
FMEG8c9a,multinational-ICES-VIIIc-IXa,Fourspotted megrim ICES VIIIc-IXa,European Union
FSCADWA,multinational-FAO-WA,False Scad West Africa,West Africa
FSNAPOKWI,Japan-FAJ-OKWI,Flame snapper Okinawa Islands,Russia Japan
FTOOTHSHARATL,USA-NMFS-ATL,Finetooth shark Atlantic,US Southeast and Gulf
GAGGM,USA-NMFS-GM,Gag Gulf of Mexico,US Southeast and Gulf
GAGSATLC,USA-NMFS-SATLC,Gag Southern Atlantic coast,US Southeast and Gulf
GEMFISHNZ,New Zealand-MFish-NZ,common gemfish New Zealand,New Zealand
GEMFISHSE,Australia-AFMA-SE,common gemfish Southeast Australia,Australia
GFORKBMEDGSA9,multinational-GFCM-GSA9,Greater forkbeard Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
GFORKNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Greater forkbeard Northeast Atlantic,European Union
GGRUNTWASG1,multinational-FAO-SG1,Grey Grunt West Africa Subgroup 1,West Africa
GGRUNTWASG3,multinational-FAO-SG3,Grey Grunt West Africa Subgroup 3,West Africa
GGURNIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Grey gurnard IIIa, VIId and North Sea",European Union
GHAL01ABCDEF,multinational-NAFO-01ABCDEF,Greenland halibut NAFO 01ABCDEF,Canada East Coast
GHAL23KLMNO,multinational-NAFO-23KLMNO,Greenland halibut NAFO 23KLMNO,Canada East Coast
GHAL4RST,Canada-DFO-4RST,Greenland halibut NAFO 4RST,Canada East Coast
GHALBSAI,USA-NMFS-BSAI,Greenland turbot Bering Sea and Aleutian Islands,US Alaska
GHALNEAR,multinational-ICES-I-II,Greenland halibut Northeast Arctic,Europe non EU
GHALV-VI-XII-XIV,multinational-ICES-V-VI-XII-XIV,Greenland halibut V-VI-XII-XIV,European Union
GHBRMGSA7,multinational-GFCM-GSA7,Gilthead seabream Gulf of Lions,Mediterranean-Black Sea
GLGROUPSATLCGM,USA-NMFS-SATLCGM,Goliath grouper Southern Atlantic coast and Gulf of Mexico,US Southeast and Gulf
GOLDREDNEAR,multinational-ICES-I-II,Golden Redfish Northeast Arctic,Europe non EU
GOLDREDV-VI-XII-XIV,multinational-ICES-V-VI-XII-XIV,Golden Redfish V-VI-XII-XIV,European Union
GOPHERSPCOAST,USA-NMFS-SPCOAST,Gopher rockfish Southern Pacific Coast,US West Coast
GPOCTOBSAI,USA-NMFS-BSAI,Giant Pacific octopus Bering Sea and Aleutian Islands,US Alaska
GPOCTOGA,USA-NMFS-GA,Giant Pacific octopus Gulf of Alaska,US Alaska
GRAMBERGM,USA-NMFS-GM,Greater amberjack Gulf of Mexico,US Southeast and Gulf
GRAMBERSATLC,USA-NMFS-SATLC,Greater amberjack Southern Atlantic coast,US Southeast and Gulf
GRNSTROCKPCOAST,USA-NMFS-PCOAST,Greenstriped rockfish Pacific Coast,US West Coast
GRSHRIMPMEDGSA10,multinational-GFCM-GSA10,Giant red shrimp South Tyrrhenian Sea,Mediterranean-Black Sea
GRSHRIMPMEDGSA11,multinational-GFCM-GSA11,Giant red shrimp Sardinia,Mediterranean-Black Sea
GRSHRIMPMEDGSA12-16,multinational-GFCM-GSA12-16,Giant red shrimp Geographical Sub-Areas 12-16,Mediterranean-Black Sea
GRSHRIMPMEDGSA18-19,multinational-GFCM-GSA18-19,Giant red shrimp South Adriatic Sea and West Ionian Sea,Mediterranean-Black Sea
GRSHRIMPMEDGSA9,multinational-GFCM-GSA9,Giant red shrimp Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
GRSPROCKNCAL,USA-NMFS-PCOAST,Greenspotted rockfish Pacific Coast North,US West Coast
GRSPROCKSCAL,USA-NMFS-PCOAST,Greenspotted rockfish Pacific Coast South,US West Coast
GSSMELTI-II-IIIa-IV,multinational-ICES-I-II-IIIa-IV,Greater silver smelt ICES I-II-IIIa-IV,European Union
GSSMELTVa-XIV,multinational-ICES-Va-XIV,Greater silver smelt Va and XIV,Europe non EU
GSSMELTVb-VIa,multinational-ICES-Vb-VIa,Greater silver smelt ICES Vb-VIa,Europe non EU
GSSMELTVIb-VII-VIII-IX-X-XII,multinational-ICES-VIb-VII-VIII-IX-X-XII,Greater silver smelt ICES VIb-VII-VIII-IX-X-XII,European Union
GSTRGZRSTA7,New Zealand-MFish-STA7,Giant stargazer NZ Area STA7,New Zealand
GTPRAWNNAUST,Australia-AFMA-NAUST,Northern Australia grooved Tiger Prawn,Australia
GTRIGGM,USA-NMFS-GM,Gray triggerfish Gulf of Mexico,US Southeast and Gulf
GURCH4RST,Canada-DFO-4RST,Green sea urchin Gulf of St. Lawrence,Canada East Coast
HAD3LNO,multinational-NAFO-3LNO,Haddock NAFO 3LNO,Canada East Coast
HAD4X5Y,Canada-DFO-4X5Y,Haddock NAFO-4X5Y,Canada East Coast
HAD5Y,USA-NMFS-5Y,Haddock NAFO-5Y,US East Coast
HADFAPL,multinational-ICES-Vb1,Haddock Faroe Plateau,Europe non EU
HADGB,USA-NMFS-GB,Haddock Georges Bank,US East Coast
HADICE,multinational-ICES-Va,Haddock Iceland,Europe non EU
HADIS,multinational-ICES-VIIa,Haddock Irish Sea,European Union
HADNEAR,multinational-ICES-I-II,Haddock Northeast Arctic,Europe non EU
HADNS-IIIa,multinational-ICES-IIIa-IV,Haddock ICES IIIa and North Sea,European Union
HADNS-IIIa-VIa,multinational-ICES-NS-IIIa-VIa,Haddock North Sea and IIIa-VIa,European Union
HADROCK,multinational-ICES-VIb,Haddock Rockall Bank,European Union
HADVIa,multinational-ICES-VIa,Haddock West of Scotland,European Union
HADVIIb-k,multinational-ICES-VIIb-k,Haddock ICES VIIb-k,European Union
HAKEMEDGSA15-16,multinational-GFCM-GSA15-16,Hake Malta Island and South of Sicily,Mediterranean-Black Sea
HAKEMEDGSA1-7,multinational-GFCM-GSA1-7,Hake Geographical Sub-Areas 1-7,Mediterranean-Black Sea
HAKEMEDGSA17-18,multinational-GFCM-GSA17-18,Hake Adriatic Sea,Mediterranean-Black Sea
HAKEMEDGSA19,multinational-GFCM-GSA19,Hake Western Ionian Sea,Mediterranean-Black Sea
HAKEMEDGSA20,multinational-GFCM-GSA20,Hake Eastern Ionian Sea,Mediterranean-Black Sea
HAKEMEDGSA22-23,multinational-GFCM-GSA22-23,Hake Aegean Sea and Crete Island,Mediterranean-Black Sea
HAKEMEDGSA7,multinational-GFCM-GSA7,Hake Gulf of Lions,Mediterranean-Black Sea
HAKEMEDGSA9-11,multinational-GFCM-GSA9-11,Hake Geographical Sub-Areas 9-11,Mediterranean-Black Sea
HAKENRTN,multinational-ICES-IIIa-IV-VI-VII-VIIIabd,Hake Northeast Atlantic North,European Union
HAKESOTH,multinational-ICES-VIIIc-IXa,Hake Northeast Atlantic South,European Union
HERR2224IIIa,multinational-ICES-22-24-IIIa,Herring ICES 22-24-IIIa,European Union
HERR2529-32,multinational-ICES-2529-32,Herring Subdivisions 25-29 and 32,European Union
HERR2532,multinational-ICES-25-32,Herring ICES 25-32,European Union
HERR30,multinational-ICES-30,Herring ICES 30,European Union
HERR30-31,multinational-ICES-30-31,Herring Subdivisions 30-31,European Union
HERR31,multinational-ICES-31,Herring ICES 31,European Union
HERR4RFA,Canada-DFO-4R,Herring NAFO 4R fall spawners,Canada East Coast
HERR4RSP,Canada-DFO-4R,Herring NAFO 4R spring spawners,Canada East Coast
HERR4S,Canada-DFO-4S,Herring Quebec North Shore,Canada East Coast
HERR4TFA,Canada-DFO-4T,Herring NAFO 4T fall spawners,Canada East Coast
HERR4TSP,Canada-DFO-4T,Herring NAFO 4T spring spawners,Canada East Coast
HERR4VWX,Canada-DFO-4VWX,Herring Scotian Shelf and Bay of Fundy,Canada East Coast
HERRCC,Canada-DFO-CC,Pacific herring Central Coast,Canada West Coast
HERRHOKK,Japan-FAJ-HOKK,Pacific herring Hokkaido,Russia Japan
HERRIsum,multinational-ICES-Va,Herring Iceland (Summer spawners),Europe non EU
HERRNFLDESC,Canada-DFO-NFLDESC,Herring Newfoundland East and South Coast,Canada East Coast
HERRNIRS,multinational-ICES-VIIa,Herring Northern Irish Sea,European Union
HERRNORSS,multinational-ICES-I-II-IVa-V-XIVa,Norwegian Spring Spawning Herring,Europe non EU
HERRNS-IIIa-VIId,multinational-ICES-IIIa-IV-VIId,"Herring IIIa, VIId and North Sea",European Union
HERRNWATLC,USA-NMFS-NWATLC,Atlantic herring Northwestern Atlantic Coast,US East Coast
HERRPRD,Canada-DFO-PRD,Pacific herring Prince Rupert District,Canada West Coast
HERRPWS,USA-AKSTATE-PWS,Pacific herring Prince William Sound,US Alaska
HERRQCI,Canada-DFO-QCI,Pacific herring Haida Gwaii,Canada West Coast
HERRRIGA,multinational-ICES-28,Herring ICES 28,European Union
HERRSIRS,multinational-ICES-VIIa-g-h-j,Herring ICES VIIa-g-h-j,European Union
HERRSITKA,USA-AKSTATE-SITKA,Pacific herring Sitka,US Alaska
HERRSOG,Canada-DFO-SOG,Pacific herring Straight of Georgia,Canada West Coast
HERRTOG,USA-AKSTATE-TOG,Herring Togiak District,US Alaska
HERRVIa,multinational-ICES-VIa,Herring ICES VIa,European Union
HERRVIaVIIbc,multinational-ICES-VIa-VIIb-VIIc,Herring ICES VIa-VIIb-VIIc,European Union
HERRWCVANI,Canada-DFO-WCVANI,Pacific herring West Coast of Vancouver Island,Canada West Coast
HHTILEECS,Japan-FAJ-ECS,Horsehead tilefish East China Sea,Russia Japan
HMACKIIa-IVa-Vb-VIa-VII-VIII,multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII,Horse mackerel IIa-IVa-Vb-VIa-VII-VIII,European Union
HMACKIIIa-IVbc-VIId,multinational-ICES-IIIa-IVbc-VIId,Horse mackerel IIIa-IVbc-VIId,European Union
HMACKIXa,multinational-ICES-IXa,Horse mackerel Portugese Waters -East,European Union
HMACKWA,multinational-FAO-WA,Horse Mackerel West Africa,West Africa
HOGFISHEGM,USA-NMFS-EGM,Hogfish Eastern Gulf of Mexico,US Southeast and Gulf
HOGFISHSEFL,USA-NMFS-SEFL,Hogfish Southeast Florida,US Southeast and Gulf
HOKIENZ,New Zealand-MFish-ENZ,Hoki Eastern New Zealand,New Zealand
HOKIWNZ,New Zealand-MFish-WNZ,Hoki Western New Zealand,New Zealand
ILLEXNWATLC,USA-NMFS-NWATLC,Northern shortfin squid Northwestern Atlantic Coast,US East Coast
JAMBERJPN,Japan-FAJ-JPN,Japanese amberjack Japan,Russia Japan
JANCHOPJPN,Japan-FAJ-PJPN,Japanese anchovy Pacific Coast of Japan,Russia Japan
JANCHOSETO,Japan-FAJ-SETO,Japanese anchovy Inland Sea of Japan,Russia Japan
JANCHOTSST,Japan-FAJ-TSST,Japanese anchovy Tsushima Strait,Russia Japan
JCSQUIDJPNAR,Japan-FAJ-JPNAR,Japanese flying squid Japan Autumn recruitment,Russia Japan
JCSQUIDJPNWR,Japan-FAJ-JPNWR,Japanese flying squid Japan Winter recruitment,Russia Japan
JMACKPJPN,Japan-FAJ-PJPN,Japanese jack mackerel Pacific Coast of Japan,Russia Japan
JMACKTSST,Japan-FAJ-TSST,Japanese jack mackerel Tsushima Strait,Russia Japan
JPUFFIMKB,Japan-FAJ-IMKB,Japanese pufferfish Ise and Mikawa Bay,Russia Japan
JPUFFSOJECSSI,Japan-FAJ-SOJECSSI,Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea,Russia Japan
JSNAPOKWI,Japan-FAJ-OKWI,Japanese snapper Okinawa Islands,Russia Japan
KCROCKNPAC,Japan-FAJ-NPAC,Kichiji rockfish North Pacific,Russia Japan
KCROCKOKS,Japan-FAJ-OKS,Kichiji rockfish Okhotsk Sea,Russia Japan
KCROCKSWHOKK,Japan-FAJ-SWHOKK,Kichiji rockfish Southwestern coast of Hokkaido,Russia Japan
KELPGREENLINGORECOAST,USA-NMFS-ORECOAST,Kelp greenling Oregon Coast,US West Coast
KFSHARNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Kitefin shark Northeast Atlantic,European Union
KINGKLIPSA,South Africa-DETMCM-SA,Kingklip South Africa,South Africa
KMACKGM,USA-NMFS-GM,King mackerel Gulf of Mexico,US Southeast and Gulf
KMACKSATLC,USA-NMFS-SATLC,King mackerel Southern Atlantic Coast,US Southeast and Gulf
KMFLOUNBSAI,USA-NMFS-BSAI,Kamchatka flounder Bering Sea and Aleutian Islands,US Alaska
LCODLINGPAC,Japan-FAJ-PAC,Longfin codling Pacific Ocean,Russia Japan
LDENTWASG3,multinational-FAO-SG3,Large-eye Dentex West Africa Subgroup 3,West Africa
LGSHARNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Leafscale gulper shark Northeast Atlantic,European Union
LHAIRTSOJECS,Japan-FAJ-SOJECS,Largehead hairtail Sea of Japan and East China Sea,Russia Japan
LINGCODNPCOAST,USA-NMFS-NPCOAST,Lingcod Northern Pacific Coast,US West Coast
LINGCODSOG,Canada-DFO-SOG,Lingcod Strait of Georgia,Canada West Coast
LINGCODSPCOAST,USA-NMFS-SPCOAST,Lingcod Southern Pacific Coast,US West Coast
LINGI-II,multinational-ICES-I-II,Ling North-East Arctic,Europe non EU
LINGNEATL,multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV,Ling Northeast Atlantic,European Union
LINGVa,multinational-ICES-Va,Ling Iceland Grounds,European Union
LINGVb,multinational-ICES-Vb,Ling Faroe Grounds,Europe non EU
LISQUIDATLC,USA-NMFS-ATLC,Longfin inshore squid Atlantic Coast,US Southeast and Gulf
LJOBOKWI,Japan-FAJ-OKWI,Lavender jobfish Okinawa Islands,Russia Japan
LNOSESKA3CD,Canada-DFO-WCVANI,Longnose skate West Coast Vancouver Island,Canada West Coast
LNOSESKA4B,Canada-DFO-SOG,Longnose Skate Strait of Georgia,Canada West Coast
LNOSESKA5AB,Canada-DFO-5AB,Longnose Skate Queen Charlotte Sound,Canada West Coast
LNOSESKA5CDE,Canada-DFO-HS,Longnose skate Hecate Strait,Canada West Coast
LNOSESKAPCOAST,USA-NMFS-PCOAST,Longnose skate Pacific Coast,US West Coast
LOBSTERGB,USA-NMFS-5Z,American lobster Georges Bank,US East Coast
LOBSTERGOM,USA-NMFS-5Y,American lobster Gulf of Maine,US East Coast
LOBSTERLFA15-18,Canada-DFO-LFA15-18,American lobster Quebec North Shore and Anticosti Island (LFA 15-18),Canada East Coast
LOBSTERLFA19-21,Canada-DFO-LFA19-21,American lobster Gaspe (LFA 19-21),Canada East Coast
LOBSTERLFA22,Canada-DFO-LFA22,American lobster Magdalen Islands (LFA 22),Canada East Coast
LOBSTERLFA23-26AB,Canada-DFO-LFA23-26AB,American lobster Southern Gulf of St. Lawrence,Canada East Coast
LOBSTERLFA27-33,Canada-DFO-LFA27-33,American lobster Atlantic Coast of Nova Scotia (LFA 27-33),Canada East Coast
LOBSTERLFA3-14,Canada-DFO-LFA3-14,American lobster LFA 3-14,Canada East Coast
LOBSTERLFA34,Canada-DFO-LFA34,American lobster Lobster Fishing Area 34,Canada East Coast
LOBSTERLFA35-38,Canada-DFO-LFA35-38,American lobster Lobster Fishing Areas 35-38,Canada East Coast
LOBSTERLFA41,Canada-DFO-LFA41,American Lobster LFA 41,Canada East Coast
LOBSTERSNE,USA-NMFS-SNE,American lobster Southern New England,US East Coast
LSDOGIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Lesser spotted dogfish IIIa, VIId and North Sea",European Union
LSDOGVIIIabd,multinational-ICES-VIIIabd,Lesser spotted dogfish ICES VIIIabd,European Union
LSDOGVIIIc-IXa,multinational-ICES-VIIIc-IXa,Lesser spotted dogfish VIIIc-IXa,European Union
LSDOGVI-VIIabcefghij,multinational-ICES-VI-VIIabcefghij,Lesser spotted dogfish ICES VI-VIIabcefghij,European Union
LSKAT5YCHATT,USA-NMFS-5YCHATT,Little skate Gulf of Maine / Cape Hatteras,US East Coast
LSOLEIIIa-IV-VIId,multinational-ICES-IIIa-IV-VIId,"Lemon sole IIIa, VIId and North Sea",European Union
LSTHORNHPCOAST,USA-NMFS-PCOAST,Longspine thornyhead Pacific Coast,US West Coast
MACKNEICES,multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa,Mackerel ICES Northeast Atlantic,European Union
MACKNWATLSA3-4,Canada-DFO-NWATLSA3-4,Mackerel Northwest Atlantic (NAFO Subareas 3 and 4),Canada East Coast
MEG8c9a,multinational-ICES-VIIIc-IXa,Megrim ICES VIIIc-IXa,European Union
MEGSPPIVa-VIa,multinational-ICES-IVa-VIa,Megrim spp. IVa and VIa,European Union
MEGSPPVIb,multinational-ICES-VIb,Megrim spp Rockall Bank,European Union
MEGVII-VIIIabd,multinational-ICES-VII-VIIIabd,Megrim VII-VIIIabd,European Union
MENATGM,USA-NMFS-GM,Gulf menhaden Gulf of Mexico,US Southeast and Gulf
MENATLAN,USA-NMFS-ATL,Atlantic menhaden Atlantic,US East Coast
MHMACKMEDGSA29,multinational-GFCM-GSA29,Mediterranean horse mackerel Black Sea,Mediterranean-Black Sea
MONK2J3KLNOPs,Canada-DFO-2J3KLNOPs,Monkfish Labrador Shelf - Grand Banks - St. Pierre Bank,Canada East Coast
MONKGOMNGB,USA-NMFS-GOMNGB,Monkfish Gulf of Maine / Northern Georges Bank,US East Coast
MONKSGBMATL,USA-NMFS-SGBMATL,Monkfish Southern Georges Bank / Mid-Atlantic,US East Coast
MORWONGESE,Australia-AFMA-ESE,Jackass morwong Eastern half of Southeast Australia,Australia
MORWONGSE,Australia-AFMA-SE,Jackass morwong Southeast Australia,Australia
MORWONGWSE,Australia-AFMA-WSE,Jackass morwong Western half of Southeast Australia,Australia
MULLQNSW,Australia-DPIF-QNSW,Sea Mullet Queensland and New South Wales,Australia
MUTSNAPSATLCGM,USA-NMFS-SATLCGM,Mutton snapper Southern Atlantic coast and Gulf of Mexico,US Southeast and Gulf
NEPHFU10,multinational-ICES-FU10,Norway lobster Noup (FU 10),European Union
NEPHFU11,multinational-ICES-FU11,Norway lobster North Minch (FU 11),European Union
NEPHFU12,multinational-ICES-FU12,Norway lobster South Minch (FU 12),European Union
NEPHFU13,multinational-ICES-FU13,Norway lobster Firth of Clyde and Sound of Jura (FU 13),European Union
NEPHFU14,multinational-ICES-FU14,Norway lobster Irish Sea East (FU 14),European Union
NEPHFU15,multinational-ICES-FU15,Norway lobster Irish Sea West (FU 15),European Union
NEPHFU16,multinational-ICES-FU16,Norway lobster Porcupine Bank (FU 16),European Union
NEPHFU17,multinational-ICES-FU17,Norway lobster Aran Grounds (FU 17),European Union
NEPHFU19,multinational-ICES-FU19,Norway lobster South East and West of IRL (FU 19),European Union
NEPHFU2021,multinational-ICES-FU2021,"Norway lobster Labadie, Jones and Cockburn (FU 20-21)",European Union
NEPHFU22,multinational-ICES-FU22,Norway lobster Smalls (FU 22),European Union
NEPHFU25,multinational-ICES-FU25,Norway lobster North Galicia (FU 25),European Union
NEPHFU2627,multinational-ICES-FU2627,Norway lobster West Galicia and North Portugal (FU 26-27),European Union
NEPHFU2829,multinational-ICES-FU2829,Norway lobster South-West and South Portugal (FU 28-29),European Union
NEPHFU30,multinational-ICES-FU30,Norway lobster Gulf of Cadiz (FU 30),European Union
NEPHFU31,multinational-ICES-FU31,Norway lobster Cantabrian Sea (FU 31),European Union
NEPHFU32,multinational-ICES-FU32,Norway lobster Norwegian Deeps (FU 32),European Union
NEPHFU33,multinational-ICES-FU33,Norway lobster Off Horn Reef (FU 33),European Union
NEPHFU34,multinational-ICES-FU34,Norway lobster Devil's Hole (FU 34),European Union
NEPHFU3-4,multinational-ICES-FU3-4,Norway lobster Skagerak Kattegat (FU 3-4),European Union
NEPHFU5,multinational-ICES-FU5,Norway lobster Botney Cut - Silver Pit (FU 5),European Union
NEPHFU6,multinational-ICES-FU6,Norway lobster Farn Deeps (FU 6),European Union
NEPHFU7,multinational-ICES-FU7,Norway lobster Fladen Ground (FU 7),European Union
NEPHFU8,multinational-ICES-FU8,Norway lobster Firth of Forth (FU 8),European Union
NEPHFU9,multinational-ICES-FU9,Norway lobster Moray Firth (FU 9),European Union
NEPHIV,multinational-ICES-IV,Norway lobster North Sea,European Union
NEPHMEDGSA1,multinational-GFCM-GSA1,Norway lobster Northern Alboran Sea,Mediterranean-Black Sea
NEPHMEDGSA11,multinational-GFCM-GSA11,Norway lobster Sardinia,Mediterranean-Black Sea
NEPHMEDGSA15-16,multinational-GFCM-GSA15-16,Norway lobster Malta Island and South of Sicily,Mediterranean-Black Sea
NEPHMEDGSA17,multinational-GFCM-GSA17,Norway lobster Northern Adriatic Sea,Mediterranean-Black Sea
NEPHMEDGSA17-18,multinational-GFCM-GSA17-18,Norway lobster Adriatic Sea,Mediterranean-Black Sea
NEPHMEDGSA18,multinational-GFCM-GSA18,Norway lobster Southern Adriatic Sea,Mediterranean-Black Sea
NEPHMEDGSA5,multinational-GFCM-GSA5,Norway Lobster Balearic Island,Mediterranean-Black Sea
NEPHMEDGSA6,multinational-GFCM-GSA6,Norway lobster Northern Spain,Mediterranean-Black Sea
NEPHMEDGSA9,multinational-GFCM-GSA9,Norway lobster Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
NEPHVIa,multinational-ICES-VIa,Norway lobster West of Scotland,European Union
NEPHVII,multinational-ICES-VII,Norway lobster ICES VII,European Union
NEPHVIIIab,multinational-ICES-VIIIab,Norway lobster VIIIab,European Union
NPOUTIIIa-IV,multinational-ICES-IIIa-IV,Norway pout IIIa and North Sea,European Union
NPOUTVIb,multinational-ICES-VIb,Norway pout Rockall Bank,European Union
NROCKBSAI,USA-NMFS-BSAI,Northern rockfish Bering Sea and Aleutian Islands,US Alaska
NROCKGA,USA-NMFS-GA,Northern rockfish Gulf of Alaska,US Alaska
NRSOLEEBSAI,USA-NMFS-EBSAI,Northern rock sole Eastern Bering Sea and Aleutian Islands,US Alaska
NRSOLEGA,USA-NMFS-GA,Northern rock sole Gulf of Alaska,US Alaska
NSHRIMPCH,Chile-SUBPESCA-CH-CS,Nylon Shrimp Chile,South America
NSHRIMPCSCH,Chile-SUBPESCA-CH-CS,Nylon shrimp Central-Southern Chile,South America
