stockid,areaid,stocklong,region
CAPEIIa-V-XIV,multinational-ICES-IIa-V-XIV,Capelin IIa-V-XIV,Europe non EU
CAPENOR,multinational-ICES-I,Capelin Barents Sea,Europe non EU
CATWASG1,multinational-FAO-SG1,Catfish West Africa Subgroup 1,West Africa
CATWASG3,multinational-FAO-SG3,Catfish West Africa Subgroup 3,West Africa
CHAKESA,South Africa-DETMCM-SA,Shallow-water cape hake South Africa,South Africa
CHERRCHVX,Chile-SUBPESCA-CH-CS,Chilean Herring Chile Region V-X,South America
CHILISPCOAST,USA-NMFS-SPCOAST,Chilipepper Southern Pacific Coast,US West Coast
CHMACKWA,multinational-FAO-WA,Cunene Horse Mackerel West Africa,West Africa
CHROCKCPCOAST,USA-NMFS-CPCOAST,China rockfish Central Pacific Coast,US West Coast
CHROCKNPCOAST,USA-NMFS-NPCOAST,China rockfish Northern Pacific Coast,US West Coast
CHROCKSPCOAST,USA-NMFS-SPCOAST,China rockfish Southern Pacific Coast,US West Coast
CHSQUIDSA,South Africa-DETMCM-SA,Cape Hope squid South Africa,South Africa
CHTRACCH,multinational-SPRFMO-CH,Chilean jack mackerel Chilean EEZ and offshore,South America
CJOBOKWI,Japan-FAJ-OKWI,Crimson jobfish Okinawa Islands,Russia Japan
CKRAYIIIa-IV,multinational-ICES-IIIa-IV,Cuckoo ray IIIa and North Sea,European Union
CKRAYIXa,multinational-ICES-IXa,Cuckoo ray Portugese Waters -East,European Union
CKRAYVIIIc,multinational-ICES-VIIIc,Cuckoo ray Bay of Biscay -South,European Union
CKRAYVI-VII,multinational-ICES-VI-VII,Cuckoo ray ICES VI-VII,European Union
CMACKPCOAST,USA-NMFS-PCOAST,Pacific chub mackerel Pacific Coast,US West Coast
CMACKPJPN,Japan-FAJ-PJPN,Chub mackerel Pacific Coast of Japan,Russia Japan
CMACKTSST,Japan-FAJ-TSST,Chub mackerel Tsushima Strait,Russia Japan
CMACKWA,multinational-FAO-WA,Chub Mackerel West Africa,West Africa
COBGM,USA-NMFS-GM,Cobia Gulf of Mexico,US Southeast and Gulf
COBSATLC,USA-NMFS-SATLC,Cobia Southern Atlantic coast,US Southeast and Gulf
COD1IN,multinational-ICES-1IN,Atlantic cod NAFO Subarea 1 (inshore),Europe non EU
COD2J3KL,Canada-DFO-2J3KL,Atlantic cod NAFO 2J3KL,Canada East Coast
COD3M,multinational-NAFO-3M,Atlantic cod NAFO 3M,Canada East Coast
COD3NO,multinational-NAFO-3NO,Atlantic cod NAFO 3NO,Canada East Coast
COD3Pn4RS,Canada-DFO-3Pn4RS,Atlantic cod NAFO 3Pn4RS,Canada East Coast
COD3Ps,Canada-DFO-3Ps,Atlantic cod NAFO 3Ps,Canada East Coast
COD4TVn,Canada-DFO-4T,Atlantic cod NAFO 4TVn,Canada East Coast
COD4VsW,Canada-DFO-4VsW,Atlantic cod NAFO 4VsW,Canada East Coast
COD4X,Canada-DFO-4X,Atlantic cod NAFO 4X,Canada East Coast
COD4X5Yb,Canada-DFO-4X5Yb,"Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine",Canada East Coast
COD5Zjm,Canada-DFO-5Zjm,Atlantic cod NAFO 5Zjm,Canada East Coast
CODBA2224,multinational-ICES-22-24,Atlantic cod Baltic Areas 22 and 24,European Union
CODBA2532,multinational-ICES-25-32,Atlantic cod Baltic Areas 25-32,European Union
CODFABNK,multinational-ICES-Vb2,Atlantic cod Faroe Bank,Europe non EU
CODFAPL,multinational-ICES-Vb1,Atlantic cod Faroe Plateau,Europe non EU
CODGB,USA-NMFS-5Z,Atlantic cod Georges Bank,US East Coast
CODGOM,USA-NMFS-5Y,Atlantic cod Gulf of Maine,US East Coast
CODIabdce,multinational-ICES-Iabdce,Atlantic cod ICES Iabdce,Europe non EU
CODICE,multinational-ICES-Va,Atlantic cod Iceland,Europe non EU
CODIf-XIV,multinational-ICES-If-XIV,Atlantic cod ICES If-XIV,Europe non EU
CODIIIaW-IV-VIId,multinational-ICES-IIIaW-IV-VIId,Atlantic cod IIIa (west) and IV-VIId,European Union
CODIS,multinational-ICES-VIIa,Atlantic cod Irish Sea,European Union
CODKAT,multinational-ICES-IIIa,Atlantic cod Kattegat,European Union
CODNEAR,multinational-ICES-I-II,Atlantic cod Northeast Arctic,Europe non EU
CODNEARNCW,multinational-ICES-I-II-NCW,Atlantic cod Northeast Arctic (Norwegian coastal waters),Europe non EU
CODVIa,multinational-ICES-VIa,Atlantic cod West of Scotland,European Union
CODVIb,multinational-ICES-VIb,Atlantic cod Rockall Bank,European Union
CODVIIek,multinational-ICES-VIIe-k,Atlantic Cod Celtic Sea,European Union
COWCODSCAL,USA-NMFS-SCAL,Cowcod Southern California,US West Coast
CPANDMEDGSA15-16,multinational-GFCM-GSA15-16,Common pandora Malta Island and South of Sicily,Mediterranean-Black Sea
CPANDMEDGSA9,multinational-GFCM-GSA9,Common pandora Ligurian and North Tyrrhenian Sea,Mediterranean-Black Sea
CPRROCKPCOAST,USA-NMFS-PCOAST,Copper rockfish Pacific Coast,US West Coast
CRLOBSTERSA12,South Africa-DETMCM-1-2,West coast rock lobster South Africa Areas 1-2,South Africa
CRLOBSTERSA34,South Africa-DETMCM-3-4,West coast rock lobster South Africa Areas 3-4,South Africa
CRLOBSTERSA56,South Africa-DETMCM-5-6,West coast rock lobster South Africa Areas 5-6,South Africa
CRLOBSTERSA7,South Africa-DETMCM-7,West coast rock lobster South Africa Area 7,South Africa
CRLOBSTERSA8,South Africa-DETMCM-8,West coast rock lobster South Africa Area 8,South Africa
CROAKSPPWASG1,multinational-FAO-SG1,Croaker West Africa Subgroup 1,West Africa
CROAKSPPWASG2,multinational-FAO-SG2,Croaker West Africa Subgroup 2,West Africa
CROAKSPPWASG3,multinational-FAO-SG3,Croaker West Africa Subgroup 3,West Africa
CROCKPCOAST,USA-NMFS-PCOAST,Canary rockfish Pacific Coast,US West Coast
CROCKWCVANISOGQCI,Canada-DFO-WCVANI-SOG-QCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada West Coast
CSALMA1,Canada-DFO-A1,Chum Salmon Area 1,Canada West Coast (Pacific Salmon)
CSALMA10,Canada-DFO-A10,Chum Salmon Area 10,Canada West Coast (Pacific Salmon)
CSALMA11,Canada-DFO-A11,Chum Salmon Area 11,Canada West Coast (Pacific Salmon)
CSALMA12,Canada-DFO-A12,Chum Salmon Area 12,Canada West Coast (Pacific Salmon)
CSALMA13,Canada-DFO-A13,Chum Salmon Area 13,Canada West Coast (Pacific Salmon)
CSALMA14,Canada-DFO-A14,Chum Salmon Area 14,Canada West Coast (Pacific Salmon)
CSALMA15,Canada-DFO-A15,Chum Salmon Area 15,Canada West Coast (Pacific Salmon)
CSALMA16,Canada-DFO-A16,Chum Salmon Area 16,Canada West Coast (Pacific Salmon)
CSALMA17,Canada-DFO-A17,Chum Salmon Area 17,Canada West Coast (Pacific Salmon)
CSALMA18,Canada-DFO-A18,Chum Salmon Area 18,Canada West Coast (Pacific Salmon)
CSALMA19,Canada-DFO-A19,Chum Salmon Area 19,Canada West Coast (Pacific Salmon)
CSALMA20,Canada-DFO-A20,Chum Salmon Area 20,Canada West Coast (Pacific Salmon)
CSALMA22,Canada-DFO-A22,Chum Salmon Area 22,Canada West Coast (Pacific Salmon)
CSALMA23,Canada-DFO-A23,Chum Salmon Area 23,Canada West Coast (Pacific Salmon)
CSALMA24,Canada-DFO-A24,Chum Salmon Area 24,Canada West Coast (Pacific Salmon)
CSALMA25,Canada-DFO-A25,Chum Salmon Area 25,Canada West Coast (Pacific Salmon)
CSALMA26,Canada-DFO-A26,Chum Salmon Area 26,Canada West Coast (Pacific Salmon)
CSALMA27,Canada-DFO-A27,Chum Salmon Area 27,Canada West Coast (Pacific Salmon)
CSALMA29,Canada-DFO-A29,Chum Salmon Area 29,Canada West Coast (Pacific Salmon)
CSALMA2E,Canada-DFO-A2E,Chum Salmon Area 2E,Canada West Coast (Pacific Salmon)
CSALMA2W,Canada-DFO-A2W,Chum Salmon Area 2W,Canada West Coast (Pacific Salmon)
CSALMA3,Canada-DFO-A3,Chum Salmon Area 3,Canada West Coast (Pacific Salmon)
CSALMA4,Canada-DFO-A4,Chum Salmon Area 4,Canada West Coast (Pacific Salmon)
CSALMA5,Canada-DFO-A5,Chum Salmon Area 5,Canada West Coast (Pacific Salmon)
CSALMA6,Canada-DFO-A6,Chum Salmon Area 6,Canada West Coast (Pacific Salmon)
CSALMA7,Canada-DFO-A7,Chum Salmon Area 7,Canada West Coast (Pacific Salmon)
CSALMA8,Canada-DFO-A8,Chum Salmon Area 8,Canada West Coast (Pacific Salmon)
CSALMA9,Canada-DFO-A9,Chum Salmon Area 9,Canada West Coast (Pacific Salmon)
CSALMAKPSESCD,USA-AKSTATE-AKPSESCD,Chum Salmon AK Pen Southeastern and South-central Districts,US Alaska (Pacific Salmon)
CSALMAKPSWUD,USA-AKSTATE-AKPSWUD,Chum Salmon AK Pen Southwestern and Unimak Districts,US Alaska (Pacific Salmon)
CSALMAMURCH,Russia-TINRO-AMURCH,Chum Salmon Amur chum hatchery,Russia Japan (Pacific Salmon)
CSALMAMURCW,Russia-TINRO-AMURCW,Chum Salmon Amur chum wild,Russia Japan (Pacific Salmon)
CSALMANADYRCW,Russia-TINRO-ANADYRCW,Chum Salmon Anadyr chum wild,Russia Japan (Pacific Salmon)
CSALMANDREAR,USA-AKSTATE-ANDREAR,Chum Salmon Andreafsky River,US Alaska (Pacific Salmon)
CSALMANVIKR,USA-AKSTATE-ANVIKR,Chum Salmon Anvik River,US Alaska (Pacific Salmon)
CSALMBEARR,USA-AKSTATE-BEARR,Chum Salmon Bear River,US Alaska (Pacific Salmon)
CSALMBECHSNWD,USA-AKSTATE-BECHSNWD,"Chum Salmon Bechevin, Swanson (Northwestern District)",US Alaska (Pacific Salmon)
CSALMBLKAMR,USA-AKSTATE-BLKAMR,Chum Salmon Big and Little Kamishak Rivers,US Alaska (Pacific Salmon)
CSALMBRUINR,USA-AKSTATE-BRUINR,Chum Salmon Bruin River,US Alaska (Pacific Salmon)
CSALMCARIBOUF,USA-AKSTATE-CARIBOUF,Chum Salmon CaribouFlats,US Alaska (Pacific Salmon)
CSALMCHIDWD,USA-AKSTATE-CHIDWD,Chum Salmon Chignik Western District,US Alaska (Pacific Salmon)
CSALMCHIGCD,USA-AKSTATE-CHIGCD,Chum Salmon Chignik Central District,US Alaska (Pacific Salmon)
CSALMCHIGED,USA-AKSTATE-CHIGED,Chum Salmon Chignik Eastern District,US Alaska (Pacific Salmon)
CSALMCINDERR,USA-AKSTATE-CINDERR,Chum Salmon Cinder River,US Alaska (Pacific Salmon)
CSALMCOLR,USA-WASTATE-COLR,Chum Salmon Columbia R,US West Coast (Pacific Salmon)
CSALMCWCIR,USA-AKSTATE-CWCIR,Chum Salmon Cottonwood Creek and Iniskin River,US Alaska (Pacific Salmon)
CSALMDFL,USA-AKSTATE-DFL,Chum Salmon Dogfish Lagoon,US Alaska (Pacific Salmon)
CSALMEALSEKR,USA-AKSTATE-EALSEKR,Chum Salmon East Alsek River,US Alaska (Pacific Salmon)
CSALMEKAMCH,Russia-TINRO-EKAMCH,Chum Salmon East Kamchatka chum hatchery,Russia Japan (Pacific Salmon)
CSALMEKAMCW,Russia-TINRO-EKAMCW,Chum Salmon East Kamchatka chum wild,Russia Japan (Pacific Salmon)
CSALMESAKCH,Russia-TINRO-ESAKCH,Chum Salmon East Sakhalin chum hatchery,Russia Japan (Pacific Salmon)
CSALMFISHC,USA-AKSTATE-FISHC,Chum Salmon Fish Creek,US Alaska (Pacific Salmon)
CSALMGOLOVIN,USA-AKSTATE-GOLOVIN,Chum Salmon Golovin,US Alaska (Pacific Salmon)
